Object Name,v(Helio) [km/s],v_err(Helio) [km/s],v(CMB) [km/s],v_err(CMB) [km/s],d [Mpc],d_err [Mpc]
SMC,146,1,90,4,0.06,0
LMC,278,2,327,4,0.049,0
NGC 6822,-55,2,-264,15,0.521,0.016
NGC 598,-55,2,-264,15,0.521,0.016
NGC 221,-213,2,-499,20,0.768,0.01
NGC 224,-297,1,-582,20,0.784,0.006
NGC 5457,241,2,362,9,6.644,0.087
NGC 4736,308,1,530,16,5.132,0.157
NGC 5194,523,2,696,12,7.225,0.292
NGC 4449,207,4,425,16,3.875,0.176
NGC 4214,291,1,550,18,2.979,0.252
NGC 3031,-39,3,43,6,3.675,0.049
NGC 3627,722,2,1070,24,9.62,0.221
NGC 4826,409,1,699,20,5.419,0.213
NGC 5236,513,2,793,20,6.51,0.765
NGC 1068,1137,3,914,16,10.582,0.893
NGC 5055,500,1,704,14,7.711,0.305
NGC 7331,816,1,490,23,13.427,0.367
NGC 4258,461,0,667,14,7.271,0.101
NGC 4151,997,2,1244,17,9.496,2.09
NGC 4382,729,2,1047,22,15.218,1.046
NGC 4472,981,5,1319,24,16.06,0.348
NGC 4486,1284,5,1613,24,16.757,0.271
NGC 4649,1110,5,1433,23,16.702,0.449